work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2023,data devops engineer,data engineering,eur,88000,95012,germany,mid-level,full-time,hybrid,germany,l
2023,data architect,data architecture and modeling,usd,186000,186000,united states,senior,full-time,in-person,united states,m
2023,data architect,data architecture and modeling,usd,81800,81800,united states,senior,full-time,in-person,united states,m
2023,data scientist,data science and research,usd,212000,212000,united states,senior,full-time,in-person,united states,m
2023,data scientist,data science and research,usd,93300,93300,united states,senior,full-time,in-person,united states,m
2023,data scientist,data science and research,usd,130000,130000,united states,senior,full-time,remote,united states,m
2023,data scientist,data science and research,usd,100000,100000,united states,senior,full-time,remote,united states,m
2023,machine learning researcher,machine learning and ai,usd,224400,224400,united states,mid-level,full-time,in-person,united states,m
2023,machine learning researcher,machine learning and ai,usd,138700,138700,united states,mid-level,full-time,in-person,united states,m
2023,data engineer,data engineering,usd,210000,210000,united states,executive,full-time,remote,united states,m
2023,data engineer,data engineering,usd,168000,168000,united states,executive,full-time,remote,united states,m
2023,machine learning engineer,machine learning and ai,usd,224400,224400,united states,senior,full-time,in-person,united states,m
2023,machine learning engineer,machine learning and ai,usd,138700,138700,united states,senior,full-time,in-person,united states,m
2023,data scientist,data science and research,gbp,35000,43064,united kingdom,mid-level,full-time,in-person,united kingdom,m
2023,data scientist,data science and research,gbp,30000,36912,united kingdom,mid-level,full-time,in-person,united kingdom,m
2023,data analyst,data analysis,usd,95000,95000,united states,entry-level,full-time,in-person,united states,m
2023,data analyst,data analysis,usd,75000,75000,united states,entry-level,full-time,in-person,united states,m
2023,data scientist,data science and research,usd,300000,300000,united states,senior,full-time,in-person,united states,m
2023,data scientist,data science and research,usd,234000,234000,united states,senior,full-time,in-person,united states,m
2023,analytics engineer,leadership and management,usd,140000,140000,united states,mid-level,full-time,in-person,united states,m
2023,analytics engineer,leadership and management,usd,120000,120000,united states,mid-level,full-time,in-person,united states,m
2023,machine learning engineer,machine learning and ai,usd,204500,204500,united states,mid-level,full-time,in-person,united states,m
2023,machine learning engineer,machine learning and ai,usd,142200,142200,united states,mid-level,full-time,in-person,united states,m
2023,data analyst,data analysis,usd,155000,155000,united states,mid-level,full-time,in-person,united states,m
