Company,Company Score,Job Title,Location,Date,Salary
viewsoft,4.8,software engineer,"manassas, va",8d,$68k - $94k (glassdoor est.)
workiva,4.3,software support engineer,remote,2d,$61k - $104k (employer est.)
"garmin international, inc.",3.9,c# software engineer,"cary, nc",2d,$95k - $118k (glassdoor est.)
snapchat,3.5,"software engineer, fullstack, 1+ years of experience","los angeles, ca",2d,$97k - $145k (employer est.)
vitesco technologies group ag,3.1,software engineer,"seguin, tx",2d,$85k - $108k (glassdoor est.)
spotify,3.9,backend engineer ii,"new york, ny",1d,$123k - $175k (employer est.)
infor,4.0,associate software engineer,"alpharetta, ga",7d,$77k - $94k (glassdoor est.)
amerisoft corporation,5.0,software developers,"farmington hills, mi",30d+,$71k - $100k (glassdoor est.)
whoop,3.3,"software engineer ii (backend, health)","boston, ma",10d,$94k - $148k (glassdoor est.)
pff,4.2,sr. software engineer,remote,1d,$147k - $189k (employer est.)
salesforce,4.1,mts software engineer,"san francisco, ca",5d,$90k - $113k (employer est.)
"healthmine services, inc.",3.8,software engineer,remote,1d,$54k - $79k (glassdoor est.)
honeywell,4.1,software engineer i,"aguadilla, pr",2d,$91k - $135k (glassdoor est.)
legrand av,3.7,software engineer,minneapolis-saint paul,2d,$70k - $135k (employer est.)
athenahealth,4.0,"software engineer, athenacollector – rcm rules","boston, ma",2d,$192k - $288k (employer est.)
amex,4.1,java engineer,"plantation, fl",6d,$100k - $125k (employer est.)
soft labs na,5.0,entry level to senior level software developers,"northborough, ma",30d+,$85k - $127k (glassdoor est.)
snapchat,3.5,"software engineer, c++","los angeles, ca",2d,$69k - $109k (glassdoor est.)
hertz,3.2,software engineer,"seattle, wa",2d,$124k - $234k (employer est.)
"7-eleven, inc.",3.4,software engineer,"irving, tx",1d,$85k - $150k (employer est.)
"summit technologies, inc.",4.2,software engineer,"springfield, ma",10d,$48k - $89k (glassdoor est.)
adobe,2.9,software development engineer,"san jose, ca",10d,$66k - $97k (glassdoor est.)
the mitre corporation,4.0,associate software engineer,"bedford, ma",2d,$108k - $199k (employer est.)
boston children's hospital,4.1,software engineer - ha (hybrid),"boston, ma",30d+,$102k - $173k (employer est.)
amex,3.2,engineer - react/javascript,"sunrise, fl",5d,$124k - $142k (employer est.)
ahold delhaize usa,4.0,software engineer - martech,"carlisle, pa",2d,$94k - $133k (glassdoor est.)
artera technologies,4.2,software engineers,"annapolis junction, md",6d,$70k - $116k (glassdoor est.)
adobe,4.3,software engineer,"lehi, ut",13d,$142k - $178k (employer est.)
workiva,3.5,senior software engineer,remote,3d,$87k - $135k (employer est.)
samsung electronics,3.4,software engineer,"mountain view, ca",2d,$77k - $182k (employer est.)
ipg photonics,3.7,software engineer,"oxford, ma",4d,$101k - $144k (glassdoor est.)
crafty,3.3,software engineer,"chicago, il",2d,$101k - $168k (employer est.)
"crunchyroll, llc",4.2,"software engineer iii, payments","san francisco, ca",13d,$74k - $118k (glassdoor est.)
lego,3.9,backend software engineer,"irvine, ca",9d,$100k - $200k (employer est.)
principal financial group,4.1,experienced software engineer,"des moines, ia",2d,$51k - $78k (glassdoor est.)
intel,3.4,security software engineer,"phoenix, az",22d,$71k - $237k (employer est.)
hasbro,4.4,"software engineer, unreal engine","renton, wa",18d,$87k - $116k (glassdoor est.)
software engineering institute,4.2,software engineer,"pittsburgh, pa",30d+,$116k - $184k (employer est.)
university of dayton,4.4,associate software engineer,"dayton, oh",2d,$75k - $103k (glassdoor est.)
mit,3.7,software developer,"cambridge, ma",17d,$155k - $221k (employer est.)
amazon.com services llc,5.0,software dev engineer - computer science,"seattle, wa",2d,$112k - $165k (employer est.)
daqscribe solutions,3.9,jr. software engineer,united states,10d,$73k - $109k (glassdoor est.)
west virginia university,4.5,software engineer - libraries,"morgantown, wv",4d,$120k - $150k (employer est.)
noblis,2.0,software engineer (all levels),"chantilly, va",1d,$77k - $87k (employer est.)
eimagine,3.5,software engineer,united states,30d+,$65k - $90k (employer est.)
csl software solutions,4.1,software/database developer,"burlington, vt",18d,$74k - $101k (glassdoor est.)
chewy,3.8,software engineer ii,"bellevue, wa",2d,$74k - $111k (glassdoor est.)
erpa,4.3,software test engineer,"dublin, oh",2d,$147k - $186k (employer est.)
afterpay,4.1,"software engineer, incentive","seattle, wa",3d,$129k - $174k (glassdoor est.)
harvard university,5.0,software engineer,"boston, ma",30d+,$89k - $125k (glassdoor est.)
brooks automation,3.0,software development engineer,"fremont, ca",4d,$165k - $190k (employer est.)
dlrdmv,3.5,software engineer,"dallas, tx",2d,$110k - $160k (employer est.)
movius interactive corporation,3.3,software engineer- frontend,"fremont, ca",1d,$61k - $110k (glassdoor est.)
state street,3.7,software engineer,"burlington, ma",3d,$94k - $154k (employer est.)
"sonalysts, inc.",3.8,junior software engineer,"waterford, ct",1d,$75k - $115k (employer est.)
"preco, llc",3.6,software engineer,"somerset, wi",4d,$62k - $106k (glassdoor est.)
healthstream,3.6,software developer,"nashville, tn",10d,$72k - $118k (glassdoor est.)
aptiv plc,4.0,software engineer,"troy, mi",30d+,$75k - $118k (glassdoor est.)
